AnnoS;AteneoCOD;AteneoNOME;SESSO;Lau
2022;101;Torino;F;8928
2022;101;Torino;M;5269
2022;102;Torino Politecnico;F;2442
2022;102;Torino Politecnico;M;5349
2022;201;Piemonte Orientale;F;1344
2022;201;Piemonte Orientale;M;793
2022;401;Bra Scienze Gastronomiche;F;25
2022;401;Bra Scienze Gastronomiche;M;25
2022;701;Aosta;F;135
2022;701;Aosta;M;58
2022;1001;Genova;F;3020
2022;1001;Genova;M;2225
2022;1201;Castellanza LIUC;F;387
2022;1201;Castellanza LIUC;M;577
2022;1202;Insubria;F;1300
2022;1202;Insubria;M;880
2022;1301;Novedrate e-Campus - telematica;F;4032
2022;1301;Novedrate e-Campus - telematica;M;3380
2022;1501;Milano;F;6857
2022;1501;Milano;M;4243
2022;1502;Milano Politecnico;F;4829
2022;1502;Milano Politecnico;M;8231
2022;1503;Milano Bocconi;F;1925
2022;1503;Milano Bocconi;M;2727
2022;1504;Milano Cattolica;F;7441
2022;1504;Milano Cattolica;M;3475
2022;1505;Milano IULM;F;1527
2022;1505;Milano IULM;M;486
2022;1508;Milano San Raffaele;F;518
2022;1508;Milano San Raffaele;M;232
2022;1509;Milano Bicocca;F;4338
2022;1509;Milano Bicocca;M;2675
2022;1510;Rozzano (MI) Humanitas University;F;160
2022;1510;Rozzano (MI) Humanitas University;M;87
2022;1601;Bergamo;F;2909
2022;1601;Bergamo;M;1429
2022;1701;Brescia;F;1198
2022;1701;Brescia;M;1295
2022;1801;Pavia;F;2801
2022;1801;Pavia;M;1858
2022;2101;Bolzano;F;610
2022;2101;Bolzano;M;230
2022;2201;Trento;F;1990
2022;2201;Trento;M;1841
2022;2301;Verona;F;3182
2022;2301;Verona;M;1560
2022;2701;Ca' Foscari Venezia;F;3309
2022;2701;Ca' Foscari Venezia;M;1625
2022;2702;Venezia Iuav;F;644
2022;2702;Venezia Iuav;M;441
2022;2801;Padova;F;7522
2022;2801;Padova;M;5910
2022;3001;Udine;F;1605
2022;3001;Udine;M;1256
2022;3201;Trieste;F;1704
2022;3201;Trieste;M;1185
2022;3401;Parma;F;3282
2022;3401;Parma;M;2064
2022;3601;Modena e Reggio Emilia;F;3060
2022;3601;Modena e Reggio Emilia;M;2502
2022;3701;Bologna;F;10716
2022;3701;Bologna;M;7987
2022;3801;Ferrara;F;2987
2022;3801;Ferrara;M;1768
2022;4101;Urbino;F;1849
2022;4101;Urbino;M;834
2022;4201;Marche;F;1264
2022;4201;Marche;M;1388
2022;4301;Macerata;F;1453
2022;4301;Macerata;M;449
2022;4302;Camerino;F;436
2022;4302;Camerino;M;438
2022;4801;Firenze;F;5370
2022;4801;Firenze;M;3702
2022;4804;Firenze IUL - telematica;F;76
2022;4804;Firenze IUL - telematica;M;22
2022;5001;Pisa;F;3855
2022;5001;Pisa;M;3488
2022;5201;Siena;F;1778
2022;5201;Siena;M;1030
2022;5202;Siena Stranieri;F;342
2022;5202;Siena Stranieri;M;52
2022;5401;Perugia;F;2292
2022;5401;Perugia;M;1323
2022;5403;Perugia Stranieri;F;182
2022;5403;Perugia Stranieri;M;72
2022;5601;Tuscia;F;698
2022;5601;Tuscia;M;767
2022;5801;Roma La Sapienza;F;11415
2022;5801;Roma La Sapienza;M;7609
2022;5802;Roma Tor Vergata;F;2801
2022;5802;Roma Tor Vergata;M;2139
2022;5803;Roma LUMSA;F;1392
2022;5803;Roma LUMSA;M;453
2022;5805;Roma LUISS;F;1412
2022;5805;Roma LUISS;M;1640
2022;5806;Roma Foro Italico;F;145
2022;5806;Roma Foro Italico;M;304
2022;5807;Roma Tre;F;3060
2022;5807;Roma Tre;M;1950
2022;5808;Roma Biomedico;F;342
2022;5808;Roma Biomedico;M;214
2022;5809;Roma UNINT;F;494
2022;5809;Roma UNINT;M;93
2022;5810;Roma Marconi - telematica;F;783
2022;5810;Roma Marconi - telematica;M;539
2022;5811;Roma UNITELMA - telematica;F;232
2022;5811;Roma UNITELMA - telematica;M;232
2022;5812;Roma Europea;F;307
2022;5812;Roma Europea;M;102
2022;5813;Roma UNINETTUNO - telematica;F;401
2022;5813;Roma UNINETTUNO - telematica;M;370
2022;5814;Roma  Mercatorum - telematica;F;2042
2022;5814;Roma  Mercatorum - telematica;M;3322
2022;5815;Roma UNICUSANO - telematica;F;2961
2022;5815;Roma UNICUSANO - telematica;M;3301
2022;5816;Roma San Raffaele - telematica;F;629
2022;5816;Roma San Raffaele - telematica;M;595
2022;5817;Roma Link Campus;F;48
2022;5817;Roma Link Campus;M;125
2022;5818;Roma Saint Camillus;F;28
2022;5818;Roma Saint Camillus;M;36
2022;6001;Cassino;F;696
2022;6001;Cassino;M;567
2022;6201;Sannio;F;346
2022;6201;Sannio;M;297
2022;6202;Benevento Giustino Fortunato - telematica;F;346
2022;6202;Benevento Giustino Fortunato - telematica;M;304
2022;6301;Napoli Federico II;F;7378
2022;6301;Napoli Federico II;M;5371
2022;6302;Napoli Parthenope;F;896
2022;6302;Napoli Parthenope;M;1154
2022;6303;Napoli L'Orientale;F;1532
2022;6303;Napoli L'Orientale;M;287
2022;6304;Napoli Benincasa;F;1567
2022;6304;Napoli Benincasa;M;264
2022;6306;Napoli Vanvitelli;F;2330
2022;6306;Napoli Vanvitelli;M;1533
2022;6307;Napoli Pegaso - telematica;F;11620
2022;6307;Napoli Pegaso - telematica;M;11912
2022;6501;Salerno;F;3340
2022;6501;Salerno;M;2451
2022;6601;L'Aquila;F;1605
2022;6601;L'Aquila;M;1360
2022;6701;Teramo;F;428
2022;6701;Teramo;M;357
2022;6901;Chieti e Pescara;F;2911
2022;6901;Chieti e Pescara;M;1417
2022;6902;Torrevecchia Teatina Leonardo da Vinci - telematica;F;2
2022;6902;Torrevecchia Teatina Leonardo da Vinci - telematica;M;2
2022;7001;Molise;F;720
2022;7001;Molise;M;423
2022;7101;Foggia;F;953
2022;7101;Foggia;M;437
2022;7201;Bari;F;4516
2022;7201;Bari;M;2371
2022;7202;Bari Politecnico;F;639
2022;7202;Bari Politecnico;M;1213
2022;7203;Casamassima - G.Degennaro;F;204
2022;7203;Casamassima - G.Degennaro;M;237
2022;7501;Salento;F;1886
2022;7501;Salento;M;1041
2022;7601;Basilicata;F;505
2022;7601;Basilicata;M;363
2022;7801;Calabria;F;2088
2022;7801;Calabria;M;1479
2022;7901;Catanzaro;F;1083
2022;7901;Catanzaro;M;559
2022;8001;Reggio Calabria;F;261
2022;8001;Reggio Calabria;M;306
2022;8003;Reggio Calabria - Dante Alighieri;F;105
2022;8003;Reggio Calabria - Dante Alighieri;M;16
2022;8201;Palermo;F;4543
2022;8201;Palermo;M;2724
2022;8301;Messina;F;2268
2022;8301;Messina;M;1281
2022;8601;Enna KORE;F;699
2022;8601;Enna KORE;M;314
2022;8701;Catania;F;3469
2022;8701;Catania;M;2280
2022;9001;Sassari;F;1305
2022;9001;Sassari;M;671
2022;9201;Cagliari;F;2027
2022;9201;Cagliari;M;1256
2021;101;Torino;F;9281
2021;101;Torino;M;5581
2021;102;Torino Politecnico;F;2681
2021;102;Torino Politecnico;M;6133
2021;201;Piemonte Orientale;F;1494
2021;201;Piemonte Orientale;M;882
2021;401;Bra Scienze Gastronomiche;F;62
2021;401;Bra Scienze Gastronomiche;M;67
2021;701;Aosta;F;167
2021;701;Aosta;M;59
2021;1001;Genova;F;3431
2021;1001;Genova;M;2413
2021;1201;Castellanza LIUC;F;336
2021;1201;Castellanza LIUC;M;545
2021;1202;Insubria;F;1194
