AnnoS;CorsoTIPO;SESSO;Lau
2022;Laurea Magistrale a Ciclo Unico - dm 270/04;M;12989
2022;Laurea  - dm 509/99;F;476
2022;Corso di Laurea - vecchio ordinamento;F;360
2022;Laurea - dm 270/04;F;111540
2022;Laurea Specialistica a Ciclo Unico - dm 509/99;F;246
2022;Laurea Magistrale - dm 270/04;F;70144
2022;Laurea Specialistica - dm 509/99;M;41
2022;Laurea Magistrale a Ciclo Unico - dm 270/04;F;24255
2022;Corso di Laurea - vecchio ordinamento;M;168
2022;Laurea Specialistica a Ciclo Unico - dm 509/99;M;149
2022;Laurea - dm 270/04;M;85857
2022;Laurea Magistrale - dm 270/04;M;54926
2022;Laurea  - dm 509/99;M;369
2022;Laurea Specialistica - dm 509/99;F;61
2021;Laurea  - dm 509/99;F;766
2021;Corso di Laurea - vecchio ordinamento;F;455
2021;Laurea - dm 270/04;M;89994
2021;Laurea Specialistica a Ciclo Unico - dm 509/99;M;239
2021;Laurea Magistrale a Ciclo Unico - dm 270/04;M;13929
2021;Laurea Specialistica - dm 509/99;M;83
2021;Laurea - dm 270/04;F;118251
2021;Laurea Magistrale - dm 270/04;F;67711
2021;Laurea Specialistica - dm 509/99;F;98
2021;Laurea Specialistica a Ciclo Unico - dm 509/99;F;391
2021;Corso di Laurea - vecchio ordinamento;M;247
2021;Laurea Magistrale a Ciclo Unico - dm 270/04;F;25559
2021;Laurea  - dm 509/99;M;609
2021;Laurea Magistrale - dm 270/04;M;54904
2020;Laurea - dm 270/04;M;87315
2020;Laurea Specialistica a Ciclo Unico - dm 509/99;M;354
2020;Laurea Specialistica - dm 509/99;F;133
2020;Corso di Laurea - vecchio ordinamento;M;321
2020;Laurea Magistrale a Ciclo Unico - dm 270/04;F;25509
2020;Laurea  - dm 509/99;M;849
2020;Laurea Magistrale - dm 270/04;M;49976
2020;Laurea Specialistica - dm 509/99;M;133
2020;Laurea Specialistica a Ciclo Unico - dm 509/99;F;594
2020;Laurea  - dm 509/99;F;904
2020;Corso di Laurea - vecchio ordinamento;F;582
2020;Laurea - dm 270/04;F;111315
2020;Laurea Magistrale a Ciclo Unico - dm 270/04;M;14317
2020;Laurea Magistrale - dm 270/04;F;61307
2019;Laurea Magistrale a Ciclo Unico - dm 270/04;F;24989
2019;Laurea  - dm 509/99;F;1453
2019;Laurea Specialistica - dm 509/99;F;180
2019;Laurea Magistrale - dm 270/04;M;47877
2019;Laurea Specialistica a Ciclo Unico - dm 509/99;F;804
2019;Laurea  - dm 509/99;M;1363
2019;Laurea - dm 270/04;F;108536
2019;Corso di Laurea - vecchio ordinamento;F;863
2019;Laurea Specialistica a Ciclo Unico - dm 509/99;M;501
2019;Corso di Laurea - vecchio ordinamento;M;397
2019;Laurea Magistrale a Ciclo Unico - dm 270/04;M;14268
2019;Laurea Magistrale - dm 270/04;F;58220
2019;Laurea - dm 270/04;M;84292
2019;Laurea Specialistica - dm 509/99;M;260
2018;Laurea Specialistica a Ciclo Unico - dm 509/99;M;793
2018;Laurea  - dm 509/99;F;2087
2018;Laurea Magistrale a Ciclo Unico - dm 270/04;F;24716
